English,Bangla
suit ,স্যুট 
bell ,ঘণ্টা 
west ,পশ্চিম 
legs ,পা 
hero ,নায়ক 
destroy ,ধ্বংস 
stage ,মঞ্চ 
bunch ,গুচ্ছ 
according ,অনুযায়ী 
chicken ,মুরগি 
bigger ,বড় 
grunting ,গুঞ্জন 
low ,কম 
helping ,সাহায্য করা 
admit ,স্বীকার করা 
closed ,বন্ধ 
names ,নাম 
witness ,সাক্ষী 
upstairs ,উপরে 
arm ,বাহু 
steal ,চুরি 
jimmy ,জিমি 
kick ,লাথি 
twice ,দুইবার 
cross ,ক্রস 
ways ,উপায় 
sergeant ,সার্জেন্ট 
indeed ,প্রকৃতপক্ষে 
gas ,গ্যাস 
keeping ,পালন 
energy ,শক্তি 
pregnant ,গর্ভবতী 
waste ,বর্জ্য 
helped ,সাহায্য করেছে 
fired ,বহিস্কার 
favorite ,প্রিয় 
tony ,টনি 
taste ,স্বাদ 
locked ,তালাবদ্ধ 
places ,স্থান 
writing ,লেখা 
adam ,আদম 
brothers ,ভাই 
starts ,শুরু হয় 
prince ,রাজপুত্র 
form ,ফর্ম 
sold ,বিক্রি 
silly ,নির্বোধ 
mention ,উল্লেখ 
build ,নির্মাণ 
throat ,গলা 
hole ,গর্ত 
figured ,অঙ্কিত 
track ,ট্র্যাক 
ringing ,বাজছে 
lock ,তালা 
leg ,পা 
above ,উপরে 
hiding ,লুকানো 
steve ,স্টিভ 
seemed ,লাগছিল 
breakfast ,প্রাতঃরাশ 
engine ,ইঞ্জিন 
written ,লিখিত 
complete ,সম্পূর্ণ 
video ,ভিডিও 
applause ,করতালি 
however ,যাইহোক 
pressure ,চাপ 
fresh ,তাজা 
weapon ,অস্ত্র 
sky ,আকাশ 
ms. ,ms 
stole ,চুরি 
study ,অধ্যয়ন 
burn ,পোড়া 
reading ,পড়া 
crowd ,ভিড় 
treat ,চিকিত্সা 
roll ,রোল 
double ,দ্বিগুণ 
spirit ,আত্মা 
danger ,বিপদ 
cost ,খরচ 
empty ,খালি 
level ,স্তর 
memory ,স্মৃতি 
itself ,নিজেই 
acting ,অভিনয় 
interest ,সুদ 
nose ,নাক 
plans ,পরিকল্পনা 
following ,অনুসরণ 
bathroom ,বাথরুম 
built ,নির্মিত 
closer ,কাছাকাছি 
ray ,রশ্মি 
sarah ,সারাহ 
band ,ব্যান্ড 
groans ,হাহাকার 
apparently ,দৃশ্যত 
excited ,উত্তেজিত 
richard ,রিচার্ড 
losing ,হারানো 
animals ,প্রাণী 
flight ,ফ্লাইট 
nature ,প্রকৃতি 
raise ,বাড়াতে 
pop ,পপ 
client ,ক্লায়েন্ট 
bomb ,বোমা 
neck ,ঘাড় 
suspect ,সন্দেহ 
warm ,উষ্ণ 
extra ,অতিরিক্ত 
bottle ,বোতল 
van ,ভ্যান 
heavy ,ভারী 
mommy ,মা 
dogs ,কুকুর 
wild ,বন্য 
ridiculous ,হাস্যকর 
simply ,সহজভাবে 
lee ,লি 
animal ,পশু 
showed ,দেখিয়েছে 
billy ,বিলি 
shooting ,শুটিং 
keeps ,রাখে 
camp ,শিবির 
guns ,বন্দুক 
medical ,চিকিৎসা 
shame ,লজ্জা 
hoping ,আশা করা 
whom ,কাকে 
bird ,পাখি 
majesty ,মহিমা 
flowers ,ফুল 
famous ,বিখ্যাত 
asleep ,ঘুমন্ত 
beauty ,সৌন্দর্য 
driver ,ড্রাইভার 
keys ,চাবি 
rain ,বৃষ্টি 
awful ,ভয়ঙ্কর 
large ,বড় 
local ,স্থানীয় 
deserve ,প্রাপ্য 
goddamn ,গডড্যাম 
stone ,পাথর 
jane ,জেন 
grace ,অনুগ্রহ 
consider ,বিবেচনা 
weekend ,সপ্তাহান্তে 
wondering ,আশ্চর্য 
lay ,রাখা 
plenty ,প্রচুর 
willing ,ইচ্ছুক 
pants ,প্যান্ট 
sweetheart ,প্রিয়তমা 
skin ,চামড়া 
excellent ,চমৎকার 
asshole ,asshole 
beach ,সৈকত 
c ,গ 
faith ,বিশ্বাস 
beg ,ভিক্ষা করা 
fuckin ,যৌনসঙ্গম 
responsible ,দায়ী 
military ,সামরিক 
cheering ,উল্লাস 
opportunity ,সুযোগ 
common ,সাধারণ 
bottom ,নীচে 
german ,জার্মান 
whoever ,যে কেউ 
cook ,রান্না 
walked ,হাঁটা 
papers ,কাগজপত্র 
justice ,ন্যায়বিচার 
hall ,হল 
commander ,কমান্ডার 
drug ,ড্রাগ 
main ,প্রধান 
knife ,ছুরি 
devil ,শয়তান 
necessary ,প্রয়োজনীয় 
although ,যদিও 
princess ,রাজকুমারী 
lights ,আলো 
flying ,উড়ন্ত 
dick ,শিশ্ন 
rose ,গোলাপ 
knowing ,জানা 
clearly ,স্পষ্টভাবে 
hat ,টুপি 
agreed ,সম্মত 
johnny ,জনি 
corner ,কোণ 
code ,কোড 
note ,নোট 
tommy ,টমি 
due ,বকেয়া 
correct ,সঠিক 
apologize ,ক্ষমাপ্রার্থী 
language ,ভাষা 
stars ,তারা 
faster ,দ্রুত 
cars ,গাড়ি 
folks ,লোকেরা 
bullshit ,বাজে কথা 
fellow ,সহকর্মী 
several ,বেশ কিছু 
grandma ,ঠাকুরমা 
shows ,দেখায় 
leader ,নেতা 
leaves ,পাতা 
restaurant ,রেস্টুরেন্ট 
east ,পূর্ব 
shouting ,চিৎকার 
blind ,অন্ধ 
ghost ,ভূত 
cup ,কাপ 
gotten ,অর্জিত 
tight ,টাইট 
conversation ,কথোপকথন 
tells ,বলে 
lies ,মিথ্যা 
nor ,বা 
pulled ,টানা 
hanging ,ঝুলন্ত 
speed ,গতি 
stories ,গল্প 
health ,স্বাস্থ্য 
advice ,উপদেশ 
held ,অনুষ্ঠিত 
uh-huh ,উহ-হুহ 
murdered ,খুন 
beyond ,অতিক্রম 
rule ,নিয়ম 
hardly ,খুব কমই 
possibly ,সম্ভবত 
inspector ,পরিদর্শক 
cousin ,কাজিন 
trial ,বিচার 
emergency ,জরুরী 
ought ,উচিত 
eddie ,এডি 
somehow ,কোনোভাবে 
hearing ,শুনানি 
states ,রাজ্যগুলি 
account ,অ্যাকাউন্ট 
spoke ,বক্তৃতা 
file ,ফাইল 
understood ,বোঝা যায় 
angel ,দেবদূত 
tape ,টেপ 
milk ,দুধ 
powerful ,শক্তিশালী 
weapons ,অস্ত্র 
practice ,অনুশীলন 
manager ,ম্যানেজার 
pardon ,ক্ষমা 
vote ,ভোট 
jake ,জেক 
national ,জাতীয় 
career ,কর্মজীবন 
minister ,মন্ত্রী 
super ,সুপার 
taught ,শেখানো 
robert ,রবার্ট 
biggest ,সবচেয়ে বড় 
plays ,নাটক 
natural ,প্রাকৃতিক 
dancing ,নাচ 
copy ,অনুলিপি 
plus ,প্লাস 
martin ,মার্টিন 
cake ,কেক 
freedom ,স্বাধীনতা 
among ,মধ্যে 
breath ,শ্বাস 
operation ,অপারেশন 
chris ,ক্রিস 
crew ,ক্রু 
challenge ,চ্যালেঞ্জ 
market ,বাজার 
meat ,মাংস 
towards ,দিকে 
bringing ,আনা 
dropped ,বাদ 
student ,ছাত্র 
lied ,মিথ্যা 
strength ,শক্তি 
size ,আকার 
breathe ,শ্বাস ফেলা 
color ,রঙ 
monster ,দানব 
loud ,জোরে 
photo ,ফটো 
aw ,aw 
nearly ,প্রায় 
sight ,দৃষ্টি 
greatest ,সর্বশ্রেষ্ঠ 
games ,গেম 
bridge ,সেতু 
dressed ,পরিহিত 
arrested ,গ্রেফতার 
horrible ,ভয়ঙ্কর 
coach ,কোচ 
planning ,পরিকল্পনা 
checked ,চেক করা 
breaking ,ভাঙ্গা 
noticed ,লক্ষ্য করা হয়েছে 
fantastic ,চমত্কার 
screams ,চিৎকার 
serve ,পরিবেশন করা 
ideas ,ধারণা 
investigation ,তদন্ত 
center ,কেন্দ্র 
older ,পুরোনো 
pack ,প্যাক 
soldiers ,সৈন্য 
nonsense ,আজেবাজে কথা 
doc ,ডক 
project ,প্রকল্প 
training ,প্রশিক্ষণ 
example ,উদাহরণ 
trick ,কৌশল 
prepared ,প্রস্তুত 
science ,বিজ্ঞান 
united ,ঐক্যবদ্ধ 
travel ,ভ্রমণ 
incredible ,অবিশ্বাস্য 
grandpa ,দাদা 
paying ,পরিশোধ করা 
character ,চরিত্র 
teeth ,দাঁত 
criminal ,অপরাধী 
charles ,চার্লস 
chinese ,চীনা 
truly ,সত্যিই 
honestly ,সৎভাবে 
bro ,ভাই 
survive ,বেঁচে থাকা 
bobby ,ববি 
target ,লক্ষ্য 
feed ,খাওয়ানো 
nurse ,নার্স 
e ,e 
fake ,জাল 
records ,রেকর্ড 
breathing ,শ্বাস 
sweetie ,সুইটি 
numbers ,সংখ্যা 
oil ,তেল 
suicide ,আত্মহত্যা 
belong ,অন্তর্গত 
whoo ,হু 
perfectly ,পুরোপুরি 
amy ,অ্যামি 
forgotten ,ভুলে গেছে 
remain ,থাকা 
original ,মূল 
papa ,বাবা 
onto ,উপর 
concerned ,উদ্বিগ্ন 
credit ,ক্রেডিট 
ugh ,উফ 
invited ,আমন্ত্রিত 
discuss ,আলোচনা 
research ,গবেষণা 
easier ,সহজ 
view ,দেখুন 
chair ,চেয়ার 
hurts ,ব্যাথা করে 
strike ,ধর্মঘট 
roger ,রোজার 
fill ,পূরণ 
condition ,অবস্থা 
mountain ,পর্বত 
dr ,ড 
nowhere ,কোথাও না 
sheriff ,শেরিফ 
kim ,কিম 
turning ,বাঁক 
brown ,বাদামী 
recognize ,চিনতে 
heads ,মাথা 
audience ,দর্শক 
all ,সব 
jealous ,ঈর্ষান্বিত 
pretend ,ভান 
society ,সমাজ 
finding ,খোঁজা 
shirt ,শার্ট 
comfortable ,আরামদায়ক 
meaning ,অর্থ 
guest ,অতিথি 
pieces ,টুকরা 
dry ,শুকনো 
letting ,লেটিং 
began ,শুরু 
aye ,হ্যাঁ 
jeff ,জেফ 
female ,মহিলা 
release ,মুক্তি 
ho ,ho 
cards ,কার্ড 
pray ,প্রার্থনা 
unfortunately ,দুর্ভাগ্যবশত 
balls ,বল 
destroyed ,ধ্বংস 
ended ,শেষ 
universe ,মহাবিশ্ব 
prepare ,প্রস্তুত করা 
opinion ,মতামত 
movies ,সিনেমা 
soldier ,সৈনিক 
wash ,ধোয়া 
program ,প্রোগ্রাম 
heat ,তাপ 
usual ,স্বাভাবিক 
ticket ,টিকিট 
stolen ,চুরি 
prefer ,পছন্দ 
aware ,সচেতন 
surely ,অবশ্যই 
male ,পুরুষ 
base ,ভিত্তি 
matters ,বিষয় 
lift ,উত্তোলন 
lab ,ল্যাব 
command ,আদেশ 
proof ,প্রমাণ 
cream ,ক্রিম 
selling ,বিক্রি 
believed ,বিশ্বাস 
create ,তৈরি 
h ,জ 
afford ,সামর্থ্য 
sunday ,রবিবার 
total ,মোট 
dumb ,বোবা 
threw ,নিক্ষেপ 
france ,ফ্রান্স 
birth ,জন্ম 
created ,তৈরি 
realized ,উপলব্ধি 
british ,ব্রিটিশ 
noise ,গোলমাল 
nuts ,বাদাম 
students ,ছাত্রদের 
birds ,পাখি 
social ,সামাজিক 
brilliant ,উজ্জ্বল 
bodies ,মৃতদেহ 
tie ,টাই 
opened ,খোলা 
ours ,আমাদের 
bucks ,টাকা 
kevin ,কেভিন 
mister ,মশাই 
ugly ,কুৎসিত 
ryan ,রায়ান 
focus ,ফোকাস 
dan ,ড্যান 
opens ,খোলে 
exist ,বিদ্যমান 
followed ,অনুসরণ 
england ,ইংল্যান্ড 
draw ,আঁকা 
purpose ,উদ্দেশ্য 
letters ,অক্ষর 
daniel ,ড্যানিয়েল 
opening ,খোলা 
bullet ,বুলেট 
anna ,আনা 
lately ,ইদানীং 
stayed ,থেকে গেছে 
falling ,পতন 
season ,ঋতু 
ends ,শেষ 
suggest ,পরামর্শ 
joy ,আনন্দ 
distance ,দূরত্ব 
responsibility ,দায়িত্ব 
whenever ,যখনই 
issue ,সমস্যা 
thousands ,হাজার হাজার 
process ,প্রক্রিয়া 
sword ,তলোয়ার 
shower ,ঝরনা 
weak ,দুর্বল 
fucked ,চোদা 
lonely ,একাকী 
happiness ,সুখ 
eric ,এরিক 
tiny ,ক্ষুদ্র 
desk ,ডেস্ক 
pool ,পুল 
property ,সম্পত্তি 
forced ,বাধ্য করা 
settle ,নিষ্পত্তি 
indistinct ,অস্পষ্ট 
weight ,ওজন 
received ,প্রাপ্ত 
gang ,দল 
bite ,কামড় 
friday ,শুক্রবার 
disappeared ,অদৃশ্য 
interview ,সাক্ষাৎকার 
expecting ,প্রত্যাশা 
kinda ,ধরনের 
surgery ,অস্ত্রোপচার 
horses ,ঘোড়া 
mayor ,মেয়র 
babe ,খোকা 
ancient ,প্রাচীন 
handsome ,সুদর্শন 
thomas ,টমাস 
saturday ,শনিবার 
staff ,কর্মী 
lines ,লাইন 
unit ,ইউনিট 
fan ,পাখা 
gentleman ,ভদ্রলোক 
introduce ,পরিচয় করিয়ে দেওয়া 
fate ,ভাগ্য 
split ,বিভক্ত 
recently ,সম্প্রতি 
expected ,প্রত্যাশিত 
add ,যোগ করুন 
ordered ,আদেশ 
slowly ,ধীরে ধীরে 
alarm ,এলার্ম 
member ,সদস্য 
slept ,ঘুমিয়েছে 
signed ,স্বাক্ষরিত 
enter ,প্রবেশ করা 
spanish ,স্প্যানিশ 
garden ,বাগান 
brings ,নিয়ে আসে 
brave ,সাহসী 
pig ,শূকর 
model ,মডেল 
finger ,আঙুল 
medicine ,ওষুধ 
access ,অ্যাক্সেস 
failed ,ব্যর্থ 
flat ,সমতল 
easily ,সহজে 
discovered ,আবিষ্কৃত 
based ,ভিত্তিক 
screw ,স্ক্রু 
insane ,পাগল 
cares ,যত্ন করে 
weather ,আবহাওয়া 
fingers ,আঙ্গুল 
san ,সান 
scott ,স্কট 
path ,পথ 
soft ,নরম 
harm ,ক্ষতি 
style ,শৈলী 
community ,সম্প্রদায় 
sees ,দেখে 
basically ,মূলত 
al ,আল 
signal ,সংকেত 
nope ,না 
spare ,অতিরিক্ত 
speech ,বক্তৃতা 
covered ,আচ্ছাদিত 
shake ,ঝাঁকান 
loose ,আলগা 
snow ,তুষার 
russian ,রাশিয়ান 
lake ,হ্রদ 
bright ,উজ্জ্বল 
roof ,ছাদ 
ohh ,ওহ 
sending ,পাঠানো 
paint ,পেইন্ট 
remind ,মনে করিয়ে দেওয়া 
pal ,বন্ধু 
naked ,নগ্ন 
post ,পোস্ট 
sugar ,চিনি 
heading ,শিরোনাম 
streets ,রাস্তা 
damage ,ক্ষতি 
silence ,নীরবতা 
doors ,দরজা 
pete ,pete 
ed ,এড 
success ,সাফল্য 
wet ,ভিজা 
nah ,নাহ 
amount ,পরিমাণ 
members ,সদস্যদের 
kate ,কেট 
manage ,পরিচালনা 
safety ,নিরাপত্তা 
returned ,ফিরে এসেছে 
harder ,কঠিন 
fbi ,fbi 
block ,ব্লক 
showing ,দেখানো 
fancy ,অভিনব 
chef ,শেফ 
contract ,চুক্তি 
dig ,খনন 
chest ,বুক 
good-bye ,বিদায় 
drinks ,পানীয় 
dave ,ডেভ 
buried ,সমাহিত 
brian ,ব্রায়ান 
trade ,বাণিজ্য 
journey ,যাত্রা 
stomach ,পেট 
changes ,পরিবর্তন 
details ,বিস্তারিত 
thoughts ,চিন্তা 
divorce ,বিবাহবিচ্ছেদ 
funeral ,অন্ত্যেষ্টিক্রিয়া 
maria ,মারিয়া 
football ,ফুটবল 
reality ,বাস্তবতা 
theory ,তত্ত্ব 
gosh ,ভগবান 
ruined ,নষ্ট 
gate ,গেট 
william ,উইলিয়াম 
spread ,ছড়িয়ে পড়া 
outta ,বাইরে 
japanese ,জাপানি 
sudden ,হঠাৎ 
coat ,কোট 
sooner ,তাড়াতাড়ি 
cheese ,পনির 
larry ,ল্যারি 
spring ,বসন্ত 
page ,পৃষ্ঠা 
ears ,কান 
simon ,সাইমন 
castle ,দুর্গ 
hidden ,লুকানো 
storm ,ঝড় 
cos ,কারণ 
personally ,ব্যক্তিগতভাবে 
artist ,শিল্পী 
hill ,পাহাড় 
exciting ,উত্তেজনাপূর্ণ 
permission ,অনুমতি 
jerry ,জেরি 
expensive ,ব্যয়বহুল 
tickets ,টিকিট 
forest ,বন 
barely ,সবে 
eggs ,ডিম 
goin ,যাচ্ছে 
regret ,অনুশোচনা 
lesson ,পাঠ 
lover ,প্রেমিক 
bread ,রুটি 
andy ,অ্যান্ডি 
subject ,বিষয় 
legal ,আইনি 
growing ,ক্রমবর্ধমান 
ill ,অসুস্থ 
jason ,জেসন 
mood ,মেজাজ 
owner ,মালিক 
caused ,সৃষ্ট 
beeping ,বিপিং 
points ,পয়েন্ট 
dating ,ডেটিং 
loss ,ক্ষতি 
secretary ,সচিব 
revenge ,প্রতিশোধ 
santa ,সান্তা 
likely ,সম্ভবত 
rent ,ভাড়া 
connection ,সংযোগ 
assistant ,সহকারী 
reasons ,কারণ 
yelling ,চিৎকার 
painting ,পেইন্টিং 
trees ,গাছ 
doctors ,ডাক্তার 
rush ,তাড়াহুড়ো 
foreign ,বিদেশী 
rough ,রুক্ষ 
murderer ,খুনি 
century ,শতাব্দী 
nights ,রাত 
pair ,জোড়া 
runs ,রান 
pocket ,পকেট 
farm ,খামার 
matt ,ম্যাট 
bike ,বাইক 
obvious ,স্পষ্ট 
ate ,খেয়েছে 
grew ,বেড়েছে 
professional ,পেশাদার 
tim ,টিম 
goodness ,ধার্মিকতা 
parts ,অংশ 
alan ,অ্যালান 
university ,বিশ্ববিদ্যালয় 
square ,বর্গক্ষেত্র 
grandfather ,দাদা 
europe ,ইউরোপ 
genius ,প্রতিভা 
cases ,মামলা 
ruin ,ধ্বংস 
winter ,শীতকাল 
tongue ,জিহ্বা 
memories ,স্মৃতি 
da ,da 
buying ,কেনা 
cancer ,ক্যান্সার 
clock ,ঘড়ি 
ocean ,মহাসাগর 
dna ,ডিএনএ 
liar ,মিথ্যাবাদী 
tour ,সফর 
thief ,চোর 
bleep ,ব্লিপ 
lisa ,লিসা 
rights ,অধিকার 
including ,সহ 
competition ,প্রতিযোগিতা 
smith ,স্মিথ 
planned ,পরিকল্পিত 
emily ,এমিলি 
boring ,বিরক্তিকর 
victims ,শিকার 
mentioned ,উল্লেখ করা হয়েছে 
bones ,হাড় 
plant ,উদ্ভিদ 
bless ,আশীর্বাদ 
warning ,সতর্কতা 
knocking ,নকিং 
re ,পুনরায় 
crash ,ক্র্যাশ 
bedroom ,শয়নকক্ষ 
lower ,নিম্ন 
silver ,রূপা 
groaning ,groaning 
madame ,ম্যাডাম 
defense ,প্রতিরক্ষা 
results ,ফলাফল 
toilet ,টয়লেট 
event ,ঘটনা 
complicated ,জটিল 
shape ,আকৃতি 
priest ,পুরোহিত 
royal ,রাজকীয় 
cheap ,সস্তা 
romantic ,রোমান্টিক 
downstairs ,নিচে 
invite ,আমন্ত্রণ 
fortune ,ভাগ্য 
tears ,অশ্রু 
avoid ,এড়ানো 
reached ,পৌঁছেছে 
higher ,উচ্চতর 
familiar ,পরিচিত 
telephone ,টেলিফোন 
burning ,জ্বলন্ত 
filled ,ভরা 
kelly ,কেলি 
alice ,এলিস 
airport ,বিমানবন্দর 
jobs ,চাকরি 
grown ,বড় হয়েছে 
walter ,ওয়াল্টার 
rachel ,রাহেল 
giant ,দৈত্য 
insurance ,বীমা 
